date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2021-09-21,60.035,60.580002,58.619999,58.889999,58.889999,15171800.0,15171800.0,-2.29,-1.907,118.72667,"September 21, 21",-0.01907
2021-09-22,59.845001,61.455002,59.415001,60.555,60.555,12969600.0,12969600.0,1.42,1.186,120.94667,"September 22, 21",0.01186
2021-09-23,61.369999,63.470001,61.279999,62.759998,62.759998,9306400.0,9306400.0,2.78,2.265,125.00667,"September 23, 21",0.02265
2021-09-24,62.02,63.375,61.919998,63.075001,63.075001,6932000.0,6932000.0,2.11,1.701,125.58,"September 24, 21",0.01701
2021-09-27,62.580002,63.105,62.185001,62.535,62.535,7759200.0,7759200.0,-0.09,-0.072,125.21667,"September 27, 21",-0.00072
2021-09-28,61.23,61.389999,58.395,58.759998,58.759998,17454600.0,17454600.0,-4.94,-4.034,119.03333,"September 28, 21",-0.04034
2021-09-29,59.299999,60.055,58.764999,58.994999,58.994999,12056200.0,12056200.0,-0.61,-0.514,118.54333,"September 29, 21",-0.00514
2021-09-30,59.625,59.935001,56.755001,56.855,56.855,18906600.0,18906600.0,-5.54,-4.646,115.69667,"September 30, 21",-0.04646
2021-10-01,57.57,59.57,56.09,58.880001,58.880001,20352000.0,20352000.0,2.62,2.275,116.36,"October 01, 21",0.02275
2021-10-04,58.360001,58.73,55.650002,56.580002,56.580002,16350600.0,16350600.0,-3.56,-3.05,113.97333,"October 04, 21",-0.0305
2021-10-05,57.209999,59.27,56.869999,58.299999,58.299999,11374800.0,11374800.0,2.18,1.905,116.29333,"October 05, 21",0.01905
2021-10-06,56.775002,59.139999,56.075001,59.060001,59.060001,14926000.0,14926000.0,4.57,4.025,116.18333,"October 06, 21",0.04025
2021-10-07,60.48,61.805,60.389999,60.560001,60.560001,11065000.0,11065000.0,0.16,0.132,121.8395,"October 07, 21",0.00132
2021-10-08,60.935001,61.080002,59.965,60.209999,60.209999,9985200.0,9985200.0,-1.45,-1.19,120.83667,"October 08, 21",-0.0119
2021-10-11,59.950001,61.224998,58.904999,58.93,58.93,9545000.0,9545000.0,-2.04,-1.701,119.37333,"October 11, 21",-0.01701
2021-10-12,59.334999,59.5,58.16,58.52,58.52,10140600.0,10140600.0,-1.63,-1.374,117.45333,"October 12, 21",-0.01374
2021-10-13,58.919998,59.485001,57.654999,59.099998,59.099998,9447800.0,9447800.0,0.36,0.305,117.48333,"October 13, 21",0.00305
